MATRICULA,DATA_LIG,PERFIL,NUMERO_HD,DATA_INST,LEITURA
14792729,06/01/24,NORMAL,A18N172210,08/01/24,536
14792745,06/01/24,NORMAL,A18N172190,08/01/24,155
14792761,06/01/24,NORMAL,A18N172181,08/01/24,324
14792788,06/01/24,NORMAL,A12B036974,08/01/24,230
14792800,06/01/24,NORMAL,A12S097908,08/01/24,958
14792826,06/01/24,NORMAL,A20H611125,08/01/24,37
14792842,06/01/24,NORMAL,A20H611091,08/01/24,80
14792869,06/01/24,NORMAL,A12B036543,08/01/24,296
14792885,06/01/24,NORMAL,A20H611041,08/01/24,309
14792907,06/01/24,NORMAL,A20H611036,08/01/24,390
14792923,06/01/24,NORMAL,A20H611037,08/01/24,1117
14792940,06/01/24,NORMAL,A20H611034,08/01/24,233
14792966,06/01/24,NORMAL,A20H611035,08/01/24,250
14792982,06/01/24,NORMAL,A20H611038,08/01/24,252
14793008,06/01/24,NORMAL,A20H611074,08/01/24,23
14793024,06/01/24,NORMAL,A20H611031,08/01/24,371
14793040,06/01/24,NORMAL,A20H611042,08/01/24,603
14793067,06/01/24,NORMAL,A20H611032,08/01/24,378
14793083,06/01/24,NORMAL,A20H611033,08/01/24,566
14793105,06/01/24,NORMAL,A20H611050,08/01/24,445
14793121,06/01/24,NORMAL,A20H611040,08/01/24,236
14793148,06/01/24,NORMAL,A20H611046,08/01/24,541
14793164,06/01/24,NORMAL,A20H611039,08/01/24,376
14793180,06/01/24,NORMAL,A20H611048,08/01/24,786
14793202,06/01/24,NORMAL,A20H611072,08/01/24,409
14793229,06/01/24,NORMAL,A20H611073,08/01/24,3
14793245,06/01/24,NORMAL,A20H611079,08/01/24,891
14793261,06/01/24,NORMAL,A20H611071,08/01/24,352
14793288,06/01/24,NORMAL,A20H611078,08/01/24,309
14793300,06/01/24,NORMAL,A20H611077,08/01/24,87
14793326,06/01/24,NORMAL,A20H611069,08/01/24,265
14793342,06/01/24,NORMAL,A20H611076,08/01/24,417
14793369,06/01/24,NORMAL,A20H611062,08/01/24,2
14793385,06/01/24,NORMAL,A20H611054,08/01/24,559
14793407,06/01/24,NORMAL,A20H611056,08/01/24,625
14793423,06/01/24,NORMAL,A20H611055,08/01/24,245
