LOCAL,SETOR,QUADRA,LOTE,SUBLOTE,SEQUENCIA,MATRICULA
203,200,4,301,0,301,11617322
203,200,4,302,0,302,10993193
203,200,4,303,0,303,5074959
203,200,4,304,0,304,7250495
203,200,4,305,0,305,5074967
203,200,4,306,0,306,5074975
203,200,4,307,0,307,1899562
203,200,4,308,0,308,5074983
203,200,4,309,0,309,10472266
203,200,4,310,0,310,14254034
203,200,4,311,0,311,5074991
203,200,4,312,0,312,5075009
203,200,4,313,0,313,10586369
203,200,4,314,0,314,5075025
203,200,4,315,0,315,5075033
203,200,4,316,0,316,5075041
203,200,4,317,0,317,5075050
203,200,4,319,0,319,1899635
203,200,4,321,0,321,5075068
203,200,4,322,0,322,13300490
203,200,4,323,0,323,5075076
203,200,4,324,0,324,10554092
203,200,4,325,0,325,5075084
203,200,4,326,0,326,5075092
203,200,4,328,0,328,8980640
203,200,4,329,0,329,5075122
203,200,4,331,0,331,5075130
203,200,4,332,0,332,5075149
203,200,4,333,0,333,5075157
203,200,4,334,0,334,5075165
203,200,4,335,0,335,5075173
203,200,4,336,0,336,3148254
203,200,4,337,0,337,5075181
203,200,4,338,0,338,5075190
203,200,4,339,0,339,5075203
203,200,4,340,0,340,10783075
203,200,4,341,0,341,5075424
203,200,4,342,0,342,3029271
203,200,4,343,0,343,5075211
203,200,4,344,0,344,8951462
203,200,4,345,0,345,8816336
203,200,4,346,0,346,5075238
203,200,4,347,0,347,5075246
203,200,4,348,0,348,13349201
203,200,4,349,0,349,5075254
203,200,4,350,0,350,5075270
203,200,4,351,0,351,11305347
203,200,4,352,0,352,5075289
203,200,4,356,0,356,11367750
203,200,4,357,0,357,11035331
203,200,4,358,0,358,5075300
203,200,4,359,0,359,9957294
203,200,4,360,0,360,11026782
203,200,4,361,0,361,5075335
203,200,4,390,0,390,13420569
203,200,4,391,0,391,13091352
203,200,4,392,0,392,13108140
203,200,4,393,0,393,5075963
203,200,4,394,0,394,7480040
203,200,4,395,0,395,12785121
203,200,4,396,0,396,9884742
203,200,4,398,0,398,10417060
203,200,4,399,0,399,9884734
203,200,4,400,0,400,10047905
203,200,4,401,0,401,9884750
203,200,4,402,0,402,9925651
203,200,4,403,0,403,9884718
203,200,4,405,0,405,11063351
203,200,4,406,0,406,10373586
203,200,4,407,0,407,10646213
203,200,4,414,0,414,13610163
203,200,4,419,0,419,11376309
203,200,4,422,0,422,14285550
203,200,4,428,0,428,14286432
