MATRICULA,COORD. X,COORD. Y
324671,-2.5435755000000000,-44.2718763900000000
1300113,-2.5587366000000000,-44.2644169000000000
525430,-2.5465848000000000,-44.2477698000000000
551309,-2.5420446000000000,-44.2549473900000000
347736,-2.5454658900000000,-44.2741952000000000
302953,-2.5379323000000000,-44.2695539900000000
441570,-2.5144060000000000,-44.2459782000000000
8806225,-2.5026014000000000,-44.2541133000000000
1058,-2.5332061000000000,-44.3035689000000000
38903,-2.5348269900000000,-44.3002487900000000
35980,-2.5314271000000000,-44.2983662900000000
11193,-2.5255450000000000,-44.3032273900000000
2320460,-2.5308945000000000,-44.3048203000000000
3690806,-2.5933244000000000,-44.1981257900000000
10122230,-2.6016110900000000,-44.1955708900000000
3692884,-2.5943038000000000,-44.1986924900000000
581682,-2.5575817000000000,-44.2570819000000000
586226,-2.5556473900000000,-44.2523521900000000
250899,-2.5442960000000000,-44.2870703900000000
1911813,-2.5454538000000000,-44.2794925000000000
231657,-2.5462997900000000,-44.2808728900000000
1260553,-2.5796459900000000,-44.1960618000000000
1260235,-2.5786528900000000,-44.1952069000000000
2884534,-2.5785537900000000,-44.1980708000000000
1378139,-2.5654558000000000,-44.2169787900000000
1410512,-2.5618861000000000,-44.2144601900000000
646377,-2.5385064000000000,-44.2296698000000000
641553,-2.5406832900000000,-44.2313085900000000
1277294,-2.5575318900000000,-44.2759660900000000
374130,-2.5556941000000000,-44.2688089000000000
571091,-2.5541578000000000,-44.2664783900000000
883565,-2.4887991900000000,-44.2879284900000000
4200705,-2.4882287000000000,-44.2808138900000000
13911945,-2.4866947000000000,-44.2572771900000000
10972102,-2.4921367000000000,-44.2491472000000000
849782,-2.5064354900000000,-44.2238559900000000
15012360,0,0
14765829,0,0
14791200,0,0
985384,-2.5588213900000000,-44.3312029000000000
116718,-2.5321872900000000,-44.2877229900000000
468070,-2.5086040900000000,-44.2411436000000000
127388,-2.5260715900000000,-44.2851192900000000
1460463,-2.5780332900000000,-44.1898916900000000
2105683,-2.5746535900000000,-44.1914765000000000
2104970,-2.5752714000000000,-44.1935264000000000
2603470,-2.5838809000000000,-44.1941676000000000
14632926,-2.5821562000000000,-44.1926185000000000
743445,-2.5587168000000000,-44.2370978000000000
1204840,-2.5782642900000000,-44.2037325000000000
1198785,-2.5782335900000000,-44.2010266900000000
1205722,-2.5741348900000000,-44.2039290000000000
1198157,-2.5803288000000000,-44.2016829000000000
1205005,-2.5781098000000000,-44.2046746900000000
2120801,-2.5862071000000000,-44.1924107000000000
2110970,-2.5846809900000000,-44.1988488000000000
3576558,-2.5546554900000000,-44.2293085000000000
590193,-2.5554304000000000,-44.2519775000000000
14798000,0,0
13040928,-2.5610558900000000,-44.2230915900000000
1382365,-2.5652620000000000,-44.2173627900000000
849200,-2.5600551000000000,-44.2271031000000000
614564,-2.5707599000000000,-44.2394340000000000
13414526,-2.5983860900000000,-44.2479749900000000
11169974,0,0
12887021,-2.6475423900000000,-44.2731970000000000
13641379,-2.6733128000000000,-44.2731069000000000
1169050,-2.5667624900000000,-44.3145360900000000
300853,-2.5376189000000000,-44.2692180000000000
1155172,-2.5684688000000000,-44.3108062000000000
7085087,-2.5468660000000000,-44.2905523000000000
12326356,-2.4880415000000000,-44.2587240000000000
613185,-2.5703732900000000,-44.2378416900000000
3856461,-2.5689283900000000,-44.2366932900000000
7377673,-2.5667309900000000,-44.2342708900000000
7377169,-2.5652417000000000,-44.2407873000000000
10566961,-2.5156133000000000,-44.3035477900000000
4659066,-2.5122464900000000,-44.3019981900000000
921785,-2.5122464900000000,-44.3019981900000000
905992,-2.5070301000000000,-44.3011392000000000
14791501,0,0
463400,-2.5113979900000000,-44.2643585000000000
14792141,0,0
14792265,0,0
1242750,-2.5664291000000000,-44.1952922900000000
1247395,-2.5684612000000000,-44.1941901000000000
490563,-2.4912131900000000,-44.2420036900000000
3090892,-2.5432834900000000,-44.2616621000000000
1227971,-2.5692469000000000,-44.2029877000000000
987700,-2.5584538900000000,-44.3290812900000000
1202480,-2.5804509000000000,-44.2052315900000000
3648052,-2.5972705000000000,-44.2277017900000000
9955640,-2.6062522900000000,-44.2020182900000000
14792001,0,0
14730340,0,0
3685276,-2.5962418000000000,-44.1964846900000000
7184182,-2.5710527900000000,-44.1900327000000000
3558967,-2.5674698000000000,-44.1930290900000000
486833,-2.4965090000000000,-44.2420053000000000
4472446,-2.5555319900000000,-44.3030554900000000
13726765,-2.6112562900000000,-44.1966200900000000
1058,-2.5332061000000000,-44.3035689000000000
747246,-2.5698390900000000,-44.2346491900000000
3528359,-2.5683782000000000,-44.2342089900000000
61700,-2.5334715900000000,-44.2898471900000000
13217658,-2.6400109900000000,-44.3014836900000000
