MATRICULA,OBSERVACAO,RA,OS
95923,MATRICULA INEXISTENTE EM CAMPO,5792924,4674889
9034200,MATRICULA INEXISTENTE EM CAMPO,5792925,4674890
9034226,MATRICULA INEXISTENTE EM CAMPO,5792926,4674891
1413937,MATRICULA INEXISTENTE EM CAMPO,5792927,4674892
1414135,MATRICULA INEXISTENTE EM CAMPO,5792928,4674893
8922217,MATRICULA INEXISTENTE EM CAMPO,5792929,4674894
8992606,MATRICULA INEXISTENTE EM CAMPO,5792930,4674895
143120,MATRICULA INEXISTENTE EM CAMPO,5792931,4674896
1620800,DUPLICIDADE DE MATRICULA,5792932,4674897
233625,MATRICULA INEXISTENTE EM CAMPO,5792933,4674898
265233,MATRICULA INEXISTENTE EM CAMPO,5792934,4674899
281646,MATRICULA INEXISTENTE EM CAMPO,5792935,4674900
281557,DUPLICIDADE DE MATRICULA,5792936,4674901
281581,MATRICULA INEXISTENTE EM CAMPO,5792937,4674902
249920,MATRICULA INEXISTENTE EM CAMPO,5792938,4674903
296490,MATRICULA INEXISTENTE EM CAMPO,5792939,4674904
1311549,MATRICULA INEXISTENTE EM CAMPO,5792940,4674905
11210990,MATRICULA INEXISTENTE EM CAMPO,5792941,4674906
337340,DUPLICIDADE DE MATRICULA,5792942,4674907
10618929,MATRICULA INEXISTENTE EM CAMPO,5792943,4674908
11120410,MATRICULA INEXISTENTE EM CAMPO,5792945,4674909
9043268,DUPLICIDADE DE MATRICULA,5792947,4674910
3506738,MATRICULA INEXISTENTE EM CAMPO,5792948,4674911
7350031,MATRICULA INEXISTENTE EM CAMPO,5792949,4674912
10985875,DUPLICIDADE DE MATRICULA,5792952,4674914
13405012,DUPLICIDADE DE MATRICULA,5792953,4674915
11379391,MATRICULA INEXISTENTE EM CAMPO,5792954,4674916
911224,DUPLICIDADE DE MATRICULA,5792955,4674917
908835,MATRICULA INEXISTENTE EM CAMPO,5792956,4674918
2171546,DUPLICIDADE DE MATRICULA,5792957,4674919
11443405,DUPLICIDADE DE MATRICULA,5792958,4674921
881830,DUPLICIDADE DE MATRICULA,5792959,4674922
895261,DUPLICIDADE DE MATRICULA,5792960,4674923
2026937,DUPLICIDADE DE MATRICULA,5792961,4674924
11309040,MATRICULA INEXISTENTE EM CAMPO,5792962,4674925
480410,DUPLICIDADE DE MATRICULA,5792963,4674926
9476440,MATRICULA INEXISTENTE EM CAMPO,5792964,4674927
1290967,DUPLICIDADE DE MATRICULA,5792965,4674928
1291025,DUPLICIDADE DE MATRICULA,5792966,4674929
13023195,DUPLICIDADE DE MATRICULA,5792967,4674930
460168,MATRICULA INEXISTENTE EM CAMPO,5792968,4674931
2230194,MATRICULA INEXISTENTE EM CAMPO,5792970,4674933
2229765,MATRICULA INEXISTENTE EM CAMPO,5792971,4674934
1273442,MATRICULA INEXISTENTE EM CAMPO,5792972,4674935
10790527,DUPLICIDADE DE MATRICULA,5792973,4674936
982806,DUPLICIDADE DE MATRICULA,5792974,4674937
420280,MATRICULA INEXISTENTE EM CAMPO,5792975,4674938
4739604,DUPLICIDADE DE MATRICULA,5792977,4674940
13044680,DUPLICIDADE DE MATRICULA,5792980,4674942
417092,MATRICULA INEXISTENTE EM CAMPO,5792981,4674943
3834557,DUPLICIDADE DE MATRICULA,5792982,4674944
3844420,DUPLICIDADE DE MATRICULA,5792984,4674945
13122398,MATRICULA INEXISTENTE EM CAMPO,5792986,4674947
667226,MATRICULA INEXISTENTE EM CAMPO,5792987,4674948
3408124,DUPLICIDADE DE MATRICULA,5792988,4674949
1703838,DUPLICIDADE DE MATRICULA,5792989,4674950
1668633,MATRICULA INEXISTENTE EM CAMPO,5792990,4674951
2381290,MATRICULA INEXISTENTE EM CAMPO,5792991,4674952
1669265,MATRICULA INEXISTENTE EM CAMPO,5792993,4674953
1815628,MATRICULA INEXISTENTE EM CAMPO,5792994,4674954
2381303,MATRICULA INEXISTENTE EM CAMPO,5792995,4674955
2445921,MATRICULA INEXISTENTE EM CAMPO,5792996,4674956
2445913,MATRICULA INEXISTENTE EM CAMPO,5792997,4674957
4201345,MATRICULA INEXISTENTE EM CAMPO,5792998,4674958
11258438,MATRICULA INEXISTENTE EM CAMPO,5792999,4674959
10419500,DUPLICIDADE DE MATRICULA,5793000,4674960
1816063,DUPLICIDADE DE MATRICULA,5793001,4674961
11121092,MATRICULA INEXISTENTE EM CAMPO,5793002,4674962
11121165,MATRICULA INEXISTENTE EM CAMPO,5793004,4674964
8961999,DUPLICIDADE DE MATRICULA,5793005,4674965
13415689,MATRICULA INEXISTENTE EM CAMPO,5793006,4674966
13415727,MATRICULA INEXISTENTE EM CAMPO,5793007,4674967
13415735,MATRICULA INEXISTENTE EM CAMPO,5793008,4674968
13415743,MATRICULA INEXISTENTE EM CAMPO,5793010,4674970
13415824,MATRICULA INEXISTENTE EM CAMPO,5793011,4674971
13415883,MATRICULA INEXISTENTE EM CAMPO,5793012,4674972
13415905,MATRICULA INEXISTENTE EM CAMPO,5793014,4674974
13415913,MATRICULA INEXISTENTE EM CAMPO,5793015,4674975
4191811,MATRICULA INEXISTENTE EM CAMPO,5793016,4674976
13359142,DUPLICIDADE DE MATRICULA,5793017,4674977
425320,MATRICULA INEXISTENTE EM CAMPO,5793018,4674978
3216640,MATRICULA INEXISTENTE EM CAMPO,5793019,4674980
11367423,MATRICULA INEXISTENTE EM CAMPO,5793020,4674982
12293660,DUPLICIDADE DE MATRICULA,5793021,4674983
1932284,MATRICULA INEXISTENTE EM CAMPO,5793023,4674985
10798307,MATRICULA INEXISTENTE EM CAMPO,5793025,4674987
10958738,MATRICULA INEXISTENTE EM CAMPO,5793026,4674988
14159813,MATRICULA INEXISTENTE EM CAMPO,5793027,4674989
14159791,MATRICULA INEXISTENTE EM CAMPO,5793028,4674990
1862677,MATRICULA INEXISTENTE EM CAMPO,5793030,4674992
11620455,MATRICULA INEXISTENTE EM CAMPO,5793031,4674993
2373882,MATRICULA INEXISTENTE EM CAMPO,5793032,4674994
11693916,DUPLICIDADE DE MATRICULA,5793033,4674995
11693932,DUPLICIDADE DE MATRICULA,5793034,4674996
11694432,DUPLICIDADE DE MATRICULA,5793035,4674997
13463012,MATRICULA INEXISTENTE EM CAMPO,5793037,4674999
9050540,MATRICULA INEXISTENTE EM CAMPO,5793038,4675000
13283642,MATRICULA INEXISTENTE EM CAMPO,5793039,4675001
7438818,MATRICULA INEXISTENTE EM CAMPO,5793040,4675002
1456300,MATRICULA INEXISTENTE EM CAMPO,5793042,4675004
11685360,MATRICULA INEXISTENTE EM CAMPO,5793043,4675005
3107698,DUPLICIDADE DE MATRICULA,5793044,4675006
1448560,DUPLICIDADE DE MATRICULA,5793045,4675007
873500,MATRICULA INEXISTENTE EM CAMPO,5793047,4675008
873543,DUPLICIDADE DE MATRICULA,5793049,4675009
2393506,MATRICULA INEXISTENTE EM CAMPO,5793050,4675010
1952692,MATRICULA INEXISTENTE EM CAMPO,5793052,4675012
1638270,MATRICULA INEXISTENTE EM CAMPO,5793053,4675013
1639153,MATRICULA INEXISTENTE EM CAMPO,5793054,4675014
