#,MATRICULA,RA,OS
1,95923,5792924,4674889
2,9034200,5792925,4674890
3,9034226,5792926,4674891
4,1413937,5792927,4674892
5,1414135,5792928,4674893
6,8922217,5792929,4674894
7,8992606,5792930,4674895
8,143120,5792931,4674896
9,1620800,5792932,4674897
10,233625,5792933,4674898
11,265233,5792934,4674899
12,281646,5792935,4674900
13,281557,5792936,4674901
14,281581,5792937,4674902
15,249920,5792938,4674903
16,296490,5792939,4674904
17,1311549,5792940,4674905
18,11210990,5792941,4674906
19,337340,5792942,4674907
20,10618929,5792943,4674908
21,11120410,5792945,4674909
22,9043268,5792947,4674910
23,3506738,5792948,4674911
24,7350031,5792949,4674912
25,10985875,5792952,4674914
26,13405012,5792953,4674915
27,11379391,5792954,4674916
28,911224,5792955,4674917
29,908835,5792956,4674918
30,2171546,5792957,4674919
31,11443405,5792958,4674921
32,881830,5792959,4674922
33,895261,5792960,4674923
34,2026937,5792961,4674924
35,11309040,5792962,4674925
36,480410,5792963,4674926
37,9476440,5792964,4674927
38,1290967,5792965,4674928
39,1291025,5792966,4674929
40,13023195,5792967,4674930
41,460168,5792968,4674931
42,2230194,5792970,4674933
43,2229765,5792971,4674934
44,1273442,5792972,4674935
45,10790527,5792973,4674936
46,982806,5792974,4674937
47,420280,5792975,4674938
48,4739604,5792977,4674940
49,13044680,5792980,4674942
50,417092,5792981,4674943
51,3834557,5792982,4674944
52,3844420,5792984,4674945
53,13122398,5792986,4674947
54,667226,5792987,4674948
55,3408124,5792988,4674949
56,1703838,5792989,4674950
57,1668633,5792990,4674951
58,2381290,5792991,4674952
59,1669265,5792993,4674953
60,1815628,5792994,4674954
61,2381303,5792995,4674955
62,2445921,5792996,4674956
63,2445913,5792997,4674957
64,4201345,5792998,4674958
65,11258438,5792999,4674959
66,10419500,5793000,4674960
67,1816063,5793001,4674961
68,11121092,5793002,4674962
69,11121165,5793004,4674964
70,8961999,5793005,4674965
71,13415689,5793006,4674966
72,13415727,5793007,4674967
73,13415735,5793008,4674968
74,13415743,5793010,4674970
75,13415824,5793011,4674971
76,13415883,5793012,4674972
77,13415905,5793014,4674974
78,13415913,5793015,4674975
79,4191811,5793016,4674976
80,13359142,5793017,4674977
81,425320,5793018,4674978
82,3216640,5793019,4674980
83,11367423,5793020,4674982
84,12293660,5793021,4674983
85,1932284,5793023,4674985
86,10798307,5793025,4674987
87,10958738,5793026,4674988
88,14159813,5793027,4674989
89,14159791,5793028,4674990
90,1862677,5793030,4674992
91,11620455,5793031,4674993
92,2373882,5793032,4674994
93,11693916,5793033,4674995
94,11693932,5793034,4674996
95,11694432,5793035,4674997
96,13463012,5793037,4674999
97,9050540,5793038,4675000
98,13283642,5793039,4675001
99,7438818,5793040,4675002
100,1456300,5793042,4675004
101,11685360,5793043,4675005
102,868280,Imóvel Inexistente
